descent,#
White,1927
Other,698
Unknown,534
Hispanic/Latin/Mexican,369
Black,265
Other Asian,141
Chinese,16
Korean,7
Japanese,5
Asian Indian,4
Guamanian,1
Vietnamese,1
Hawaiian,1
