Year,average_distance,#
2010,8.437460450739719,8162
2011,7.0184430506930315,7225
2012,41.72125743378985,6539
2013,6.918208219415191,5851
2014,15.005810019617035,4559
2015,6.768340187986027,6729
2016,6.846893138360619,8094
2017,8.402898422327915,7781
2018,6.7933110388275,7414
2019,6.826773478356275,7135
2020,12.568698433270548,8496
2021,36.32383595688391,12316
2022,6.379989936306067,10067
2023,6.281053121433321,8951
