descent,#
White,5301
Hispanic/Latin/Mexican,1400
Other,1286
Unknown,1131
Black,471
Other Asian,242
Filipino,19
Chinese,8
American Indian/Alaskan Native,7
Asian Indian,7
Japanese,5
Korean,5
Vietnamese,3
Pacific Islander,2
