descent,#
White,5557
Hispanic/Latin/Mexican,914
Other,834
Unknown,783
Black,723
Other Asian,291
Korean,10
Chinese,9
Filipino,4
Japanese,4
American Indian/Alaskan Native,2
Hawaiian,2
Vietnamese,1
