descent,#
White,677
Other,310
Hispanic/Latin/Mexican,181
Other Asian,116
Black,54
Unknown,50
Chinese,5
Korean,5
Filipino,4
Japanese,3
American Indian/Alaskan Native,2
Vietnamese,1
